sentiment,tweet
0.0,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx
0.0,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9"
0.0,My cat only chews @apple cords. Such an #AppleSnob.
0.0,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see"
0.0,Nobody expects the Spanish Inquisition #AAPL
0.0,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS
1.0,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB
1.0,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK
0.0,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL
0.0,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd
-1.0,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
0.0,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch
0.0,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz"
1.0,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
-1.0,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
0.0,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors
-1.0,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
0.0,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?
0.0,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3
0.0,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH
0.0,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
-1.0,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"
-1.0,i get the storage almost full notification literally every 5 minutes chill @apple
-1.0,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n
-1.0,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
0.0,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
1.0,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads
0.0,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
0.0,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz
0.0,@thehill @Apple i cite the 4th amendment as a retort
0.0,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
