clean_text,sentiment
aaplthe 10 best steve jobs emails ever,0.0
rt why aapl stock had a miniflash crash today aapl aapl,0.0
my cat only chews cords such an applesnob,0.0
i agree with that the individualinvestor should own not trade apple aapl its extended so todays pullback is good to see,0.0
nobody expects the spanish inquisition aapl,0.0
aapl5 rocket stocks to buy for december gains apple and more,0.0
top 3 all tablets damn right,1.0
cnbctv apples margins better than expected aapl,1.0
apple inc flash crash what you need to know aapl,0.0
aaplthis presentation shows what makes the worlds biggest tech companies,0.0
wtf my battery was 31 one second ago and now is 29 wtf is this,-1.0
apple watch tops search engine list of best wearable tech aapl iwatch applewatch,0.0
the bestdesigned iphone apps in the world according to,0.0
rt bought my at the storepretty good logo match cant wait to install it,1.0
contact sync between yosemite and ios8 is seriously screwed up it used to be much more stable in the past icloud isync,-1.0
aapl thanks to the non factual dumb twitter followers stock drops 3 points in one minute thanks dummies rumors,0.0
warning if you buy an iphone 5s unlocked from iphone you cannot use it on verizon network,-1.0
thanks for xtra checkin at upper westside store but why are appointments running almost 50 minutes late,0.0
why aapl stock had a miniflash crash today money morning nothing the analysts suggested would make a widel,0.0
the jh hines staff with their newly issued connected macbook and ipad mini txed,0.0
you need an ip portfolio to defend against big companies just look at court battles,0.0
for the love of gawd center the 1on the damn calendar app you fixed it once its back off center again,-1.0
i get the storage almost full notification literally every 5 minutes chill,-1.0
i had to do made the switch from iphone 6 to the galaxy note edge keep up,-1.0
me rt cant stand those ppl with stickers everywhere 910 they prob just bought an ipod shuffle,-1.0
justice department cites 18th century federal law to get to unlock iphones,0.0
latest apple products leading in efficiency iphone ipad plugloads,1.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
good be huge rt justice department cites 18th century federal law to get to unlock iphones,0.0
i cite the 4th amendment as a retort,0.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
rt thanksthinking of upgrading,1.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
way to stay relevant rt justice department cites 18th century federal law to get to unlock iphones,0.0
apple inc flash crash what you need to know aapl,0.0
need help on using your apple iphone6 amp iphone6plus checkitout,0.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
that flash crash really screwed with a lot of traders today not me im more determined than ever to make trading work for me aapl,-1.0
rt the jh hines staff with their newly issued connected macbook and ipad mini txed txed,0.0
nigga update yall headphones,-1.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
rt justice department cites 18th century federal law to get to unlock iphones,-1.0
ok you win i wont use your browser anymore since it keeps closing on me literally 8 times today i counted,-1.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
i cite the us constitution where judges cannot pass laws violation of the separation of powers,-1.0
u need to get ur fucking shit together and let me txt while on youtube,-1.0
wish we could prosecute the admin for violation of privacy and criminal search and seizure,-1.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the us gov,0.0
aaplheres why apple dropped,-1.0
this one chart explains affect on paints an interesting story what do you think,0.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
final aapl putcallratios for monday december 1 2014,0.0
aapl launches red apple logo for world aids day dec 1 is world aids day and the red apple logo will be abl,0.0
hey fuck you,-1.0
5 companies growing faster than apple inc aapl,0.0
why doesnt your people explain precautions when buying an expensive laptop,-1.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
u was bored huh,0.0
rt you need an ip portfolio to defend against big companies just look at court battles,0.0
as a die hard customer i must say i am truly displeased with the customer service i was given today badservice apple,-1.0
made it clear today that i as a customer are not worth a measly 79 an employee gave mis info and they will not stand behind it,-1.0
inspired by and on worldaidsday 100 of appsforred in go to fight aids get and,0.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
16gb ipad air 2 retina wifi tablet 400 free shipping via ebay cybermonday firstworldproblems,0.0
photo love ios 8 love ios8 nocrop iphone young phone screen capturescream boy,1.0
why does force people to use its vpn built in to ios8 off button doesnt work ffs like i want apples nsa data collection service,-1.0
then how the hell did i take this screenshot,-1.0
rt department cites 18th century federal law to get to unlock iphones,0.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
buy round lot on the open mt aapl stock briefly dove 64 today analysts not sure why,-1.0
3g is draining my battery fix this,-1.0
your chargers suck ass they just love to break,-1.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
aaplmy three horsemen of the nasdaq 100 apple microsoft and gilead scie,0.0
rt justice department cites 18th century federal law to get to unlock iphones,0.0
im hoping wont automatically make us download bruce springsteen and u2 singing together u2 bruce espn thatwasbad,-1.0
what a joke justice dept should prosecute killer wilson in pursuit of justice ferguson is not over,-1.0
please educate us,0.0
rt wish we could prosecute the admin for violation of privacy and criminal search and seizure,-1.0
the game traders play in the name of market liquidity hft darkpools stock trading algorithms aapl,0.0
aapl10 steve jobs emails you need to read,0.0
so so sooooo annoyed did the restore from my back up and lost my voice mails i needed to keep those thanks a lot,-1.0
thisnyosemite update is stressing me out macbookpro,-1.0
just broke my 3rd charger of the month get your shit together,-1.0
this iphone 6 battery isnt as good as you claim,-1.0
nasdaq big fall fell 36 on monday see whether follow up,-1.0
iphone users face big change over apples google search choice monday 1 december,0.0
rt please educate us,0.0
just updated my ram to 16gb you guys are like shallow gfs take all the money but dammit you look good,1.0
oh its not fair and i think youre really mean,-1.0
whoknew why isnt on twitter interestingfact passingthetime,0.0
rt whoknew why isnt on twitter interestingfact passingthetime,0.0
ibm ios users account for 216 of all online sales 3x users 66 they are dominating business sales cybermonday,1.0
i hate how ios 8 capitalizes random words like i dont wanna give emphasis to some stupid word in tha sentence get ur self together,-1.0
ive made clear i support rand paul in 2016 in most cases why is everyone pigeonholed as red or blue also u like,0.0
why was the iphone 4 ever created,-1.0
i fucking hate you,-1.0
please can i have new phone for christmas spreadsomejoy,1.0
perfome pie,0.0
nasdaq100 recent market exit 4 sold aapl long for a 1049 gain in 20 days aapl forex trading stocks,0.0
rumoured to be launching a mega tab because biggerisbetter,0.0
apple inc pt upped by barclays morgan stanley trims stake aapl,0.0
its not like the app costs money just let me download it,-1.0
rt new ha blog post gtgtgt final aapl putcallratios for monday december 1 2014,0.0
aapljim cramers 4 best stock picks for the health care sector,0.0
my phones been charging for an hour but it keeps losing percentage get ur shit together,-1.0
steve jobs clave en juicio contra,0.0
rt steve jobs clave en juicio contra,0.0
rt steve jobs clave en juicio contra,0.0
my laptop was completely dead and blacked out for 2 days amp i finally opened the inside and fixed it hire me,0.0
we couldnt even get a turkey for tday so they just dont care appleemojissuck,-1.0
rt steve jobs clave en juicio contra,0.0
rt my phones been charging for an hour but it keeps losing percentage get ur shit together,-1.0
apple nasdaq aapl participates in world aids day campaign apple aapl campaign,0.0
well played,1.0
thank you,1.0
fix it,-1.0
rt thank you,1.0
how long does it really take for a phone to ship smh,-1.0
ipod lawsuit will reveal unseen steve jobs video,0.0
rt ipod lawsuit will reveal unseen steve jobs video,0.0
lol dying,0.0
so on my iphone5 the health kit is no longer gathering data sigh,-1.0
trade aapl free nightly updates are posted here on twitter or you can visit the trade aapl free website here,0.0
thanks for changing yet another fuck into duckthanks,-1.0
yh news apple tumbles as much as 6 percent in unusual trading by chuck mikolajczak new york reuters,-1.0
cause fuck,-1.0
rt brass band at store broadway winterseve nyc,0.0
if i buy a 16 gb phone i should have 16 gbs to use,-1.0
fuck you for breaking my music,-1.0
rt brass band at store broadway winterseve nyc,0.0
have apple incs ipad sales peaked aapl,0.0
rt brass band at store broadway winterseve nyc,0.0
barclays apple analyst joins the crowd and increases price target forbes aapl,0.0
just need to come out with a charger cord that keep a charge amp dont fall apart,-1.0
rt you should be able to forward a voicemail why isnt that a thing,-1.0
and i speak for all of humanity we want to chose what contacts are added to our contacts book from facebook thanks,-1.0
i h8 everything about u,-1.0
ur a disgrace,-1.0
i want my pictures back,0.0
my phone is on acid right now fix this,-1.0
i had a power cord problem under warranty you said it would be fine it isnt and now you wont replace it,-1.0
this was normal use no abuse wrapped it exactly as you instructed me to this is a fire hazard you should replace it defective,-1.0
btw i love all of your products they rock your power cords are junk you seriously need to fix this,1.0
rt brass band at store broadway winterseve nyc,0.0
rt justice department cites 18th century federal law to get to unlock iphones,-1.0
yo fix your shitty imessage,-1.0
aapl rt apples share repurchases have benefited shareholders by 80 billion,1.0
even with apple watch delayed im raising my aapl price target to 165 aapl alexcho,1.0
i love between amp i earned 200 miles during the blackfriday sale freemoney centsability cybermonday,1.0
yo this auto correct shit gotta stop changing my shit right when i send it,-1.0
first logo was designed by cofounder ronald wayne drawing of isaac newton reading a book under an apple tree,0.0
those pick up the slack you fuck boys,-1.0
maybe good product but never better then macbook air its a fact,1.0
fucking faggots,-1.0
of course thats not their mother fucking,-1.0
apple inc store logos turn red for world aids day aapl,0.0
the fuck kinda gay shit you print in the fucking ketosis,-1.0
game you bitches really trying me tonight rt gams night gawd,-1.0
apple ceo tim cook comes out as gay via,0.0
rt u need to get ur fucking shit together and let me txt while on youtube,-1.0
why cant i buy any version let alone the version i actually like of star wars on stupid lame starwars,-1.0
perhaps a less malleable metal for the shell of the iphone6splus noticedsomecurve,0.0
macbook pro 13 nonretina first startup via macbook macbookpro startup hipster,0.0
macbook pro 13in unboxing via macbook macbookpro startup hipster unboxing,0.0
ipad mini unboxing via ipadmini ipad macbook macbookpro startup hipster unboxing,0.0
ipad mini first time startup via ipadmini ipad macbook macbookpro startup hipster unbox,0.0
where the ipod 6 at doe,0.0
can drop audio only rendition requirement for ios apps users hate it no other stores want it other platforms dont know what it is,-1.0
none too happy with mac os x yosemite file vault 2 or boot camp right now thankful to own a,-1.0
iphone6s to emerge spring 2015 with apple watch tuesday 2 december,0.0
all my apps on ipodtouch5thgen,0.0
i demand there be a tapatio emoji,-1.0
